state,month,motherage,births,,
Minnesota,11,15-19,107,125,
Minnesota,11,20-24,609,716,
Minnesota,11,25-29,1349,1958,
Minnesota,11,30-34,1771,3120,
Minnesota,11,35-39,870,2641,
Minnesota,11,40-44,200,1070,
Minnesota,11,45-49,11,,
Minnesota,12,15-19,138,149,
Minnesota,12,20-24,649,787,
Minnesota,12,25-29,1412,2061,
Minnesota,12,30-34,1846,3258,
Minnesota,12,35-39,988,2834,
Minnesota,12,40-44,186,1174,
Minnesota,12,45-49,17,,
Mississippi,1,15-19,204,221,
Mississippi,1,20-24,725,929,
Mississippi,1,25-29,895,1620,
Mississippi,1,30-34,661,1556,
Mississippi,1,35-39,269,930,
Mississippi,1,40-44,70,339,
Mississippi,2,15-19,203,273,
Mississippi,2,20-24,689,892,
Mississippi,2,25-29,869,1558,
Mississippi,2,30-34,641,1510,
Mississippi,2,35-39,244,885,
Mississippi,2,40-44,58,302,
Mississippi,3,15-19,221,279,
Mississippi,3,20-24,711,932,
Mississippi,3,25-29,871,1582,
Mississippi,3,30-34,639,1510,
Mississippi,3,35-39,264,903,
Mississippi,3,40-44,49,313,
Mississippi,4,15-19,165,214,
Mississippi,4,20-24,648,813,
Mississippi,4,25-29,774,1422,
Mississippi,4,30-34,559,1333,
Mississippi,4,35-39,268,827,
Mississippi,4,40-44,48,316,
Mississippi,5,15-19,173,221,
Mississippi,5,20-24,660,833,
Mississippi,5,25-29,878,1538,
Mississippi,5,30-34,616,1494,
Mississippi,5,35-39,283,899,
Mississippi,5,40-44,42,325,
Mississippi,6,15-19,200,242,
Mississippi,6,20-24,689,889,
Mississippi,6,25-29,848,1537,
Mississippi,6,30-34,672,1520,
Mississippi,6,35-39,235,907,
Mississippi,6,40-44,58,293,
Mississippi,7,15-19,199,257,
Mississippi,7,20-24,787,986,
Mississippi,7,25-29,977,1764,
Mississippi,7,30-34,699,1676,
Mississippi,7,35-39,298,997,
Mississippi,7,40-44,53,351,
Mississippi,8,15-19,218,271,
Mississippi,8,20-24,804,1022,
Mississippi,8,25-29,872,1676,
Mississippi,8,30-34,685,1557,
Mississippi,8,35-39,292,977,
Mississippi,8,40-44,56,348,
Mississippi,9,15-19,208,264,
Mississippi,9,20-24,749,957,
Mississippi,9,25-29,840,1589,
Mississippi,9,30-34,654,1494,
Mississippi,9,35-39,300,954,
Mississippi,9,40-44,62,362,
Mississippi,10,15-19,204,266,
Mississippi,10,20-24,722,926,
Mississippi,10,25-29,918,1640,
Mississippi,10,30-34,709,1627,
Mississippi,10,35-39,320,1029,
Mississippi,10,40-44,65,385,
Mississippi,11,15-19,204,269,
Mississippi,11,20-24,690,894,
Mississippi,11,25-29,819,1509,
Mississippi,11,30-34,650,1469,
Mississippi,11,35-39,286,936,
Mississippi,11,40-44,49,335,
Mississippi,12,15-19,188,237,
Mississippi,12,20-24,764,952,
Mississippi,12,25-29,869,1633,
Mississippi,12,30-34,699,1568,
Mississippi,12,35-39,295,994,
Mississippi,12,40-44,64,359,
Missouri,1,15-19,301,365,
Missouri,1,20-24,1221,1522,
Missouri,1,25-29,1697,2918,
Missouri,1,30-34,1615,3312,
Missouri,1,35-39,704,2319,
Missouri,1,40-44,165,869,
Missouri,2,15-19,294,459,
Missouri,2,20-24,1087,1381,
Missouri,2,25-29,1643,2730,
Missouri,2,30-34,1556,3199,
Missouri,2,35-39,660,2216,
Missouri,2,40-44,147,807,
Missouri,2,45-49,10,,
Missouri,3,15-19,252,262,
Missouri,3,20-24,1034,1286,
Missouri,3,25-29,1718,2752,
Missouri,3,30-34,1629,3347,
Missouri,3,35-39,736,2365,
Missouri,3,40-44,127,863,
Missouri,4,15-19,237,364,
Missouri,4,20-24,1104,1341,
Missouri,4,25-29,1619,2723,
Missouri,4,30-34,1656,3275,
Missouri,4,35-39,720,2376,
Missouri,4,40-44,111,831,
Missouri,4,45-49,10,,
Missouri,5,15-19,241,251,
Missouri,5,20-24,1069,1310,
Missouri,5,25-29,1747,2816,
Missouri,5,30-34,1726,3473,
Missouri,5,35-39,743,2469,
Missouri,5,40-44,144,887,
Missouri,5,45-49,14,,
Missouri,6,15-19,263,277,
Missouri,6,20-24,1099,1362,
Missouri,6,25-29,1720,2819,
Missouri,6,30-34,1546,3266,
Missouri,6,35-39,682,2228,
Missouri,6,40-44,152,834,
Missouri,7,15-19,262,414,
Missouri,7,20-24,1144,1406,
Missouri,7,25-29,1787,2931,
Missouri,7,30-34,1751,3538,
Missouri,7,35-39,811,2562,
Missouri,7,40-44,156,967,
Missouri,7,45-49,11,,
Missouri,8,15-19,262,273,
Missouri,8,20-24,1236,1498,
Missouri,8,25-29,1875,3111,
Missouri,8,30-34,1776,3651,
Missouri,8,35-39,785,2561,
Missouri,8,40-44,146,931,
Missouri,9,15-19,281,427,
Missouri,9,20-24,1140,1421,
Missouri,9,25-29,1771,2911,
Missouri,9,30-34,1707,3478,
Missouri,9,35-39,751,2458,
Missouri,9,40-44,154,905,
Missouri,10,15-19,259,413,
Missouri,10,20-24,1205,1464,
Missouri,10,25-29,1776,2981,
Missouri,10,30-34,1698,3474,
Missouri,10,35-39,805,2503,
Missouri,10,40-44,150,955,
Missouri,11,15-19,261,411,
Missouri,11,20-24,1063,1324,
Missouri,11,25-29,1583,2646,
Missouri,11,30-34,1495,3078,
Missouri,11,35-39,760,2255,
Missouri,11,40-44,150,910,
Missouri,11,45-49,11,,
Missouri,12,15-19,250,261,
Missouri,12,20-24,1184,1434,
Missouri,12,25-29,1648,2832,
Missouri,12,30-34,1457,3105,
Missouri,12,35-39,731,2188,
Missouri,12,40-44,150,881,
Montana,1,15-19,30,180,
Montana,1,20-24,141,171,
Montana,1,25-29,259,400,
Montana,1,30-34,275,534,
Montana,1,35-39,144,419,
Montana,1,40-44,31,175,
Montana,2,15-19,31,62,
Montana,2,20-24,142,173,
Montana,2,25-29,297,439,
Montana,2,30-34,264,561,
Montana,2,35-39,146,410,
Montana,2,40-44,31,177,
Montana,3,15-19,38,69,
Montana,3,20-24,160,198,
Montana,3,25-29,290,450,
Montana,3,30-34,286,576,
Montana,3,35-39,155,441,
Montana,3,40-44,25,180,
Montana,4,15-19,30,55,
Montana,4,20-24,152,182,
Montana,4,25-29,299,451,
Montana,4,30-34,281,580,
Montana,4,35-39,149,430,
Montana,4,40-44,27,176,
Montana,5,15-19,38,65,
Montana,5,20-24,195,233,
Montana,5,25-29,321,516,
Montana,5,30-34,307,628,
Montana,5,35-39,166,473,
Montana,5,40-44,27,193,
Montana,6,15-19,30,57,
Montana,6,20-24,172,202,
Montana,6,25-29,280,452,
Montana,6,30-34,254,534,
Montana,6,35-39,150,404,
Montana,6,40-44,31,181,
Montana,7,15-19,25,56,
Montana,7,20-24,175,200,
Montana,7,25-29,303,478,
Montana,7,30-34,258,561,
Montana,7,35-39,160,418,
Montana,7,40-44,29,189,
Montana,8,15-19,34,63,
Montana,8,20-24,158,192,
Montana,8,25-29,321,479,
Montana,8,30-34,293,614,
Montana,8,35-39,149,442,
Montana,8,40-44,38,187,
Montana,9,15-19,33,71,
Montana,9,20-24,183,216,
Montana,9,25-29,314,497,
Montana,9,30-34,297,611,
Montana,9,35-39,140,437,
Montana,9,40-44,27,167,
Montana,10,15-19,29,56,
Montana,10,20-24,157,186,
Montana,10,25-29,285,442,
Montana,10,30-34,262,547,
Montana,10,35-39,126,388,
Montana,10,40-44,29,155,
Montana,11,15-19,24,53,
Montana,11,20-24,162,186,
Montana,11,25-29,253,415,
Montana,11,30-34,252,505,
Montana,11,35-39,144,396,
Montana,11,40-44,19,163,
Montana,12,15-19,30,49,
Montana,12,20-24,150,180,
Montana,12,25-29,284,434,
Montana,12,30-34,302,586,
Montana,12,35-39,168,470,
Montana,12,40-44,20,188,
Nebraska,1,15-19,78,98,
Nebraska,1,20-24,356,434,
Nebraska,1,25-29,610,966,
Nebraska,1,30-34,614,1224,
Nebraska,1,35-39,312,926,
Nebraska,1,40-44,60,372,
Nebraska,2,15-19,83,143,
Nebraska,2,20-24,358,441,
Nebraska,2,25-29,631,989,
Nebraska,2,30-34,588,1219,
Nebraska,2,35-39,295,883,
Nebraska,2,40-44,54,349,
Nebraska,3,15-19,90,144,
Nebraska,3,20-24,304,394,
Nebraska,3,25-29,630,934,
Nebraska,3,30-34,639,1269,
Nebraska,3,35-39,276,915,
Nebraska,3,40-44,60,336,
Nebraska,4,15-19,86,146,
Nebraska,4,20-24,336,422,
Nebraska,4,25-29,661,997,
Nebraska,4,30-34,622,1283,
Nebraska,4,35-39,278,900,
Nebraska,4,40-44,64,342,
Nebraska,5,15-19,77,141,
Nebraska,5,20-24,378,455,
Nebraska,5,25-29,691,1069,
Nebraska,5,30-34,667,1358,
Nebraska,5,35-39,330,997,
Nebraska,5,40-44,73,403,
Nebraska,6,15-19,73,146,
Nebraska,6,20-24,349,422,
Nebraska,6,25-29,629,978,
Nebraska,6,30-34,610,1239,
Nebraska,6,35-39,303,913,
Nebraska,6,40-44,60,363,
Nebraska,7,15-19,66,126,
Nebraska,7,20-24,389,455,
Nebraska,7,25-29,654,1043,
Nebraska,7,30-34,665,1319,
Nebraska,7,35-39,305,970,
Nebraska,7,40-44,48,353,
Nebraska,8,15-19,87,135,
Nebraska,8,20-24,358,445,
Nebraska,8,25-29,704,1062,
Nebraska,8,30-34,627,1331,
Nebraska,8,35-39,290,917,
Nebraska,8,40-44,62,352,
Nebraska,9,15-19,94,156,
Nebraska,9,20-24,350,444,
Nebraska,9,25-29,673,1023,
Nebraska,9,30-34,617,1290,
Nebraska,9,35-39,267,884,
Nebraska,9,40-44,63,330,
Nebraska,10,15-19,77,140,
Nebraska,10,20-24,353,430,
Nebraska,10,25-29,689,1042,
Nebraska,10,30-34,632,1321,
Nebraska,10,35-39,313,945,
Nebraska,10,40-44,77,390,
Nebraska,11,15-19,68,145,
Nebraska,11,20-24,306,374,
Nebraska,11,25-29,561,867,
Nebraska,11,30-34,621,1182,
Nebraska,11,35-39,281,902,
Nebraska,11,40-44,64,345,
Nebraska,12,15-19,88,152,
Nebraska,12,20-24,315,403,
Nebraska,12,25-29,602,917,
Nebraska,12,30-34,609,1211,
Nebraska,12,35-39,290,899,
Nebraska,12,40-44,57,347,
Nevada,1,15-19,115,172,
Nevada,1,20-24,449,564,
Nevada,1,25-29,741,1190,
Nevada,1,30-34,736,1477,
Nevada,1,35-39,445,1181,
Nevada,1,40-44,92,537,
Nevada,2,15-19,98,190,
Nevada,2,20-24,428,526,
Nevada,2,25-29,742,1170,
Nevada,2,30-34,774,1516,
Nevada,2,35-39,416,1190,
Nevada,2,40-44,108,524,
Nevada,3,15-19,110,218,
Nevada,3,20-24,460,570,
Nevada,3,25-29,783,1243,
Nevada,3,30-34,773,1556,
Nevada,3,35-39,414,1187,
Nevada,3,40-44,96,510,
Nevada,4,15-19,109,205,
Nevada,4,20-24,432,541,
Nevada,4,25-29,715,1147,
Nevada,4,30-34,782,1497,
Nevada,4,35-39,379,1161,
Nevada,4,40-44,101,480,
Nevada,5,15-19,108,209,
Nevada,5,20-24,448,556,
Nevada,5,25-29,732,1180,
Nevada,5,30-34,775,1507,
Nevada,5,35-39,436,1211,
Nevada,5,40-44,86,522,
Nevada,6,15-19,107,193,
Nevada,6,20-24,431,538,
Nevada,6,25-29,793,1224,
Nevada,6,30-34,771,1564,
Nevada,6,35-39,435,1206,
Nevada,6,40-44,98,533,
Nevada,7,15-19,98,196,
Nevada,7,20-24,501,599,
Nevada,7,25-29,726,1227,
Nevada,7,30-34,821,1547,
Nevada,7,35-39,479,1300,
Nevada,7,40-44,120,599,
Nevada,8,15-19,100,220,
Nevada,8,20-24,485,585,
Nevada,8,25-29,782,1267,
Nevada,8,30-34,888,1670,
Nevada,8,35-39,468,1356,
Nevada,8,40-44,112,580,
Nevada,9,15-19,89,201,
Nevada,9,20-24,502,591,
Nevada,9,25-29,794,1296,
Nevada,9,30-34,842,1636,
Nevada,9,35-39,473,1315,
Nevada,9,40-44,115,588,
Nevada,10,15-19,103,218,
Nevada,10,20-24,453,556,
Nevada,10,25-29,795,1248,
Nevada,10,30-34,852,1647,
Nevada,10,35-39,517,1369,
Nevada,10,40-44,124,641,
Nevada,11,15-19,68,192,
Nevada,11,20-24,442,510,
Nevada,11,25-29,758,1200,
Nevada,11,30-34,809,1567,
Nevada,11,35-39,467,1276,
Nevada,11,40-44,125,592,
Nevada,12,15-19,106,231,
Nevada,12,20-24,499,605,
Nevada,12,25-29,781,1280,
Nevada,12,30-34,824,1605,
Nevada,12,35-39,485,1309,
Nevada,12,40-44,111,596,
New Hampshire,1,15-19,22,133,
New Hampshire,1,20-24,88,110,
New Hampshire,1,25-29,254,342,
New Hampshire,1,30-34,359,613,
New Hampshire,1,35-39,180,539,
New Hampshire,1,40-44,34,214,
New Hampshire,2,15-19,18,52,
New Hampshire,2,20-24,87,105,
New Hampshire,2,25-29,250,337,
New Hampshire,2,30-34,376,626,
New Hampshire,2,35-39,188,564,
New Hampshire,2,40-44,49,237,
New Hampshire,3,15-19,18,67,
New Hampshire,3,20-24,78,96,
New Hampshire,3,25-29,248,326,
New Hampshire,3,30-34,376,624,
New Hampshire,3,35-39,185,561,
New Hampshire,3,40-44,30,215,
New Hampshire,4,15-19,13,43,
New Hampshire,4,20-24,88,101,
New Hampshire,4,25-29,245,333,
New Hampshire,4,30-34,385,630,
New Hampshire,4,35-39,176,561,
New Hampshire,4,40-44,37,213,
New Hampshire,5,15-19,17,54,
New Hampshire,5,20-24,86,103,
New Hampshire,5,25-29,248,334,
New Hampshire,5,30-34,382,630,
New Hampshire,5,35-39,201,583,
New Hampshire,5,40-44,31,232,
New Hampshire,6,15-19,17,48,
New Hampshire,6,20-24,95,112,
New Hampshire,6,25-29,242,337,
New Hampshire,6,30-34,381,623,
New Hampshire,6,35-39,199,580,
New Hampshire,6,40-44,47,246,
New Hampshire,7,15-19,11,58,
New Hampshire,7,20-24,99,110,
New Hampshire,7,25-29,298,397,
New Hampshire,7,30-34,401,699,
New Hampshire,7,35-39,215,616,
New Hampshire,7,40-44,32,247,
New Hampshire,8,15-19,10,42,
New Hampshire,8,20-24,92,102,
New Hampshire,8,25-29,264,356,
New Hampshire,8,30-34,397,661,
New Hampshire,8,35-39,216,613,
New Hampshire,8,40-44,44,260,
New Hampshire,9,15-19,16,60,
New Hampshire,9,20-24,86,102,
New Hampshire,9,25-29,271,357,
New Hampshire,9,30-34,378,649,
New Hampshire,9,35-39,216,594,
New Hampshire,9,40-44,34,250,
New Hampshire,10,15-19,16,50,
New Hampshire,10,20-24,90,106,
New Hampshire,10,25-29,249,339,
New Hampshire,10,30-34,374,623,
New Hampshire,10,35-39,209,583,
New Hampshire,10,40-44,35,244,
New Hampshire,11,15-19,11,46,
New Hampshire,11,20-24,104,115,
New Hampshire,11,25-29,214,318,
New Hampshire,11,30-34,406,620,
New Hampshire,11,35-39,207,613,
New Hampshire,11,40-44,41,248,
New Hampshire,12,15-19,16,57,
New Hampshire,12,20-24,98,114,
New Hampshire,12,25-29,259,357,
New Hampshire,12,30-34,337,596,
New Hampshire,12,35-39,206,543,
New Hampshire,12,40-44,46,252,
New Jersey,1,15-19,180,226,
New Jersey,1,20-24,980,1160,
New Jersey,1,25-29,1811,2791,
New Jersey,1,30-34,2969,4780,
New Jersey,1,35-39,1926,4895,
New Jersey,1,40-44,410,2336,
New Jersey,1,45-49,47,,
New Jersey,2,15-19,201,248,
New Jersey,2,20-24,903,1104,
New Jersey,2,25-29,1746,2649,
New Jersey,2,30-34,2732,4478,
New Jersey,2,35-39,1828,4560,
New Jersey,2,40-44,441,2269,
New Jersey,2,45-49,35,,
New Jersey,3,15-19,172,207,
New Jersey,3,20-24,998,1170,
New Jersey,3,25-29,1763,2761,
New Jersey,3,30-34,3043,4806,
New Jersey,3,35-39,1948,4991,
New Jersey,3,40-44,468,2416,
New Jersey,3,45-49,37,,
New Jersey,4,15-19,174,211,
New Jersey,4,20-24,881,1055,
New Jersey,4,25-29,1823,2704,
New Jersey,4,30-34,2888,4711,
New Jersey,4,35-39,1903,4791,
New Jersey,4,40-44,451,2354,
New Jersey,4,45-49,26,,
New Jersey,5,15-19,166,192,
New Jersey,5,20-24,909,1075,
New Jersey,5,25-29,1892,2801,
New Jersey,5,30-34,3086,4978,
New Jersey,5,35-39,1999,5085,
New Jersey,5,40-44,478,2477,
New Jersey,5,45-49,30,,
New Jersey,6,15-19,162,192,
New Jersey,6,20-24,948,1110,
New Jersey,6,25-29,1715,2663,
New Jersey,6,30-34,2941,4656,
New Jersey,6,35-39,1902,4843,
New Jersey,6,40-44,399,2301,
New Jersey,6,45-49,41,,
New Jersey,7,15-19,188,229,
New Jersey,7,20-24,980,1168,
New Jersey,7,25-29,1977,2957,
New Jersey,7,30-34,3232,5209,
New Jersey,7,35-39,2066,5298,
New Jersey,7,40-44,475,2541,
New Jersey,7,45-49,45,,
New Jersey,7,50+,10,,
New Jersey,8,15-19,174,184,
New Jersey,8,20-24,998,1172,
New Jersey,8,25-29,1958,2956,
New Jersey,8,30-34,3294,5252,
New Jersey,8,35-39,2211,5505,
New Jersey,8,40-44,501,2712,
New Jersey,8,45-49,23,,
New Jersey,9,15-19,164,187,
New Jersey,9,20-24,976,1140,
New Jersey,9,25-29,1896,2872,
New Jersey,9,30-34,3031,4927,
New Jersey,9,35-39,1937,4968,
New Jersey,9,40-44,471,2408,
New Jersey,9,45-49,25,,
New Jersey,10,15-19,178,203,
New Jersey,10,20-24,995,1173,
New Jersey,10,25-29,1896,2891,
New Jersey,10,30-34,3034,4930,
New Jersey,10,35-39,2070,5104,
New Jersey,10,40-44,479,2549,
New Jersey,10,45-49,33,,
New Jersey,11,15-19,177,210,
New Jersey,11,20-24,920,1097,
New Jersey,11,25-29,1719,2639,
New Jersey,11,30-34,2842,4561,
New Jersey,11,35-39,1949,4791,
New Jersey,11,40-44,475,2424,
New Jersey,11,45-49,28,,
New Jersey,12,15-19,179,207,
New Jersey,12,20-24,959,1138,
New Jersey,12,25-29,1830,2789,
New Jersey,12,30-34,2967,4797,
New Jersey,12,35-39,1941,4908,
New Jersey,12,40-44,473,2414,
New Jersey,12,45-49,46,,
New Mexico,1,15-19,106,152,
New Mexico,1,20-24,386,492,
New Mexico,1,25-29,520,906,
New Mexico,1,30-34,448,968,
New Mexico,1,35-39,249,697,
New Mexico,1,40-44,55,304,
New Mexico,2,15-19,92,147,
New Mexico,2,20-24,383,475,
New Mexico,2,25-29,511,894,
New Mexico,2,30-34,410,921,
New Mexico,2,35-39,210,620,
New Mexico,2,40-44,49,259,
New Mexico,3,15-19,126,175,
New Mexico,3,20-24,406,532,
New Mexico,3,25-29,489,895,
New Mexico,3,30-34,455,944,
New Mexico,3,35-39,228,683,
New Mexico,3,40-44,55,283,
New Mexico,4,15-19,103,158,
New Mexico,4,20-24,416,519,
New Mexico,4,25-29,500,916,
New Mexico,4,30-34,435,935,
New Mexico,4,35-39,216,651,
New Mexico,4,40-44,44,260,
New Mexico,5,15-19,102,146,
New Mexico,5,20-24,376,478,
New Mexico,5,25-29,482,858,
New Mexico,5,30-34,435,917,
New Mexico,5,35-39,204,639,
New Mexico,5,40-44,51,255,
New Mexico,6,15-19,108,159,
New Mexico,6,20-24,410,518,
New Mexico,6,25-29,486,896,
New Mexico,6,30-34,459,945,
New Mexico,6,35-39,207,666,
New Mexico,6,40-44,40,247,
New Mexico,7,15-19,89,129,
New Mexico,7,20-24,423,512,
New Mexico,7,25-29,533,956,
New Mexico,7,30-34,481,1014,
New Mexico,7,35-39,255,736,
New Mexico,7,40-44,47,302,
New Mexico,8,15-19,111,158,
New Mexico,8,20-24,488,599,
New Mexico,8,25-29,559,1047,
New Mexico,8,30-34,461,1020,
New Mexico,8,35-39,239,700,
New Mexico,8,40-44,52,291,
New Mexico,9,15-19,120,172,
New Mexico,9,20-24,450,570,
New Mexico,9,25-29,544,994,
New Mexico,9,30-34,497,1041,
New Mexico,9,35-39,227,724,
New Mexico,9,40-44,50,277,
New Mexico,10,15-19,105,155,
New Mexico,10,20-24,377,482,
New Mexico,10,25-29,492,869,
New Mexico,10,30-34,490,982,
New Mexico,10,35-39,250,740,
New Mexico,10,40-44,48,298,
New Mexico,11,15-19,81,129,
New Mexico,11,20-24,336,417,
New Mexico,11,25-29,401,737,
New Mexico,11,30-34,402,803,
New Mexico,11,35-39,212,614,
New Mexico,11,40-44,56,268,
New Mexico,12,15-19,61,117,
New Mexico,12,20-24,229,290,
New Mexico,12,25-29,308,537,
New Mexico,12,30-34,321,629,
New Mexico,12,35-39,175,496,
New Mexico,12,40-44,29,204,
New York,1,15-19,392,421,
New York,1,20-24,2493,2885,
New York,1,25-29,3988,6481,
New York,1,30-34,5279,9267,
New York,1,35-39,3597,8876,
New York,1,40-44,1041,4638,
New York,1,45-49,83,,
New York,2,15-19,379,462,
New York,2,20-24,2322,2701,
New York,2,25-29,3835,6157,
New York,2,30-34,5167,9002,
New York,2,35-39,3388,8555,
New York,2,40-44,1002,4390,
New York,2,45-49,94,,
New York,2,50+,11,,
New York,3,15-19,430,441,
New York,3,20-24,2354,2784,
New York,3,25-29,4086,6440,
New York,3,30-34,5486,9572,
New York,3,35-39,3679,9165,
New York,3,40-44,905,4584,
New York,3,45-49,72,,
New York,3,50+,14,,
New York,4,15-19,385,399,
New York,4,20-24,2246,2631,
New York,4,25-29,3827,6073,
New York,4,30-34,5572,9399,
New York,4,35-39,3538,9110,
New York,4,40-44,928,4466,
New York,4,45-49,81,,
New York,4,50+,11,,
New York,5,15-19,392,403,
New York,5,20-24,2409,2801,
New York,5,25-29,4119,6528,
New York,5,30-34,5867,9986,
New York,5,35-39,3918,9785,
New York,5,40-44,980,4898,
New York,5,45-49,81,,
New York,5,50+,12,,
New York,6,15-19,367,379,
New York,6,20-24,2247,2614,
New York,6,25-29,3847,6094,
New York,6,30-34,5627,9474,
New York,6,35-39,3620,9247,
New York,6,40-44,890,4510,
New York,6,45-49,78,,
New York,7,15-19,418,496,
New York,7,20-24,2411,2829,
New York,7,25-29,4255,6666,
New York,7,30-34,5888,10143,
New York,7,35-39,3909,9797,
New York,7,40-44,1030,4939,
New York,7,45-49,95,,
New York,7,50+,16,,
New York,8,15-19,434,450,
New York,8,20-24,2432,2866,
New York,8,25-29,4129,6561,
New York,8,30-34,6107,10236,
New York,8,35-39,4002,10109,
New York,8,40-44,971,4973,
New York,8,45-49,78,,
New York,9,15-19,416,494,
New York,9,20-24,2351,2767,
New York,9,25-29,4029,6380,
New York,9,30-34,5531,9560,
New York,9,35-39,3734,9265,
New York,9,40-44,912,4646,
New York,9,45-49,58,,
New York,9,50+,11,,
New York,10,15-19,375,386,
New York,10,20-24,2355,2730,
New York,10,25-29,3970,6325,
New York,10,30-34,5608,9578,
New York,10,35-39,3878,9486,
New York,10,40-44,969,4847,
New York,10,45-49,78,,
New York,10,50+,11,,
New York,11,15-19,404,415,
New York,11,20-24,2353,2757,
New York,11,25-29,3747,6100,
New York,11,30-34,5376,9123,
New York,11,35-39,3606,8982,
New York,11,40-44,972,4578,
New York,11,45-49,93,,
New York,11,50+,13,,
New York,12,15-19,364,377,
New York,12,20-24,2311,2675,
New York,12,25-29,3785,6096,
New York,12,30-34,5173,8958,
New York,12,35-39,3612,8785,
New York,12,40-44,1028,4640,
New York,12,45-49,90,,
New York,12,50+,11,,
North Carolina,1,15-19,471,482,
North Carolina,1,20-24,1888,2359,
North Carolina,1,25-29,2910,4798,
North Carolina,1,30-34,2990,5900,
North Carolina,1,35-39,1600,4590,
North Carolina,1,40-44,301,1901,
North Carolina,1,45-49,16,,
North Carolina,2,15-19,394,410,
North Carolina,2,20-24,1756,2150,
North Carolina,2,25-29,2659,4415,
North Carolina,2,30-34,2876,5535,
North Carolina,2,35-39,1485,4361,
North Carolina,2,40-44,343,1828,
North Carolina,2,45-49,14,,
North Carolina,3,15-19,445,459,
North Carolina,3,20-24,1844,2289,
North Carolina,3,25-29,2896,4740,
North Carolina,3,30-34,2995,5891,
North Carolina,3,35-39,1440,4435,
North Carolina,3,40-44,356,1796,
North Carolina,3,45-49,13,,
North Carolina,4,15-19,403,416,
North Carolina,4,20-24,1719,2122,
North Carolina,4,25-29,2800,4519,
North Carolina,4,30-34,3024,5824,
North Carolina,4,35-39,1471,4495,
North Carolina,4,40-44,347,1818,
North Carolina,4,45-49,13,,
North Carolina,5,15-19,428,441,
North Carolina,5,20-24,1872,2300,
North Carolina,5,25-29,2882,4754,
North Carolina,5,30-34,3176,6058,
North Carolina,5,35-39,1553,4729,
North Carolina,5,40-44,330,1883,
North Carolina,5,45-49,22,,
North Carolina,6,15-19,421,443,
North Carolina,6,20-24,1847,2268,
North Carolina,6,25-29,2724,4571,
North Carolina,6,30-34,2927,5651,
North Carolina,6,35-39,1566,4493,
North Carolina,6,40-44,287,1853,
North Carolina,6,45-49,22,,
North Carolina,7,15-19,437,459,
North Carolina,7,20-24,2022,2459,
North Carolina,7,25-29,3051,5073,
North Carolina,7,30-34,3245,6296,
North Carolina,7,35-39,1666,4911,
North Carolina,7,40-44,340,2006,
North Carolina,7,45-49,24,,
North Carolina,8,15-19,449,473,
North Carolina,8,20-24,2062,2511,
North Carolina,8,25-29,3072,5134,
North Carolina,8,30-34,3316,6388,
North Carolina,8,35-39,1751,5067,
North Carolina,8,40-44,366,2117,
North Carolina,8,45-49,17,,
North Carolina,9,15-19,444,461,
North Carolina,9,20-24,1977,2421,
North Carolina,9,25-29,2877,4854,
North Carolina,9,30-34,3168,6045,
North Carolina,9,35-39,1687,4855,
North Carolina,9,40-44,325,2012,
North Carolina,9,45-49,23,,
North Carolina,10,15-19,412,435,
North Carolina,10,20-24,1827,2239,
North Carolina,10,25-29,2948,4775,
North Carolina,10,30-34,3124,6072,
North Carolina,10,35-39,1724,4848,
North Carolina,10,40-44,372,2096,
North Carolina,10,45-49,20,,
North Carolina,11,15-19,409,429,
North Carolina,11,20-24,1803,2212,
North Carolina,11,25-29,2818,4621,
North Carolina,11,30-34,2906,5724,
North Carolina,11,35-39,1612,4518,
North Carolina,11,40-44,339,1951,
North Carolina,11,45-49,25,,
North Carolina,12,15-19,447,472,
North Carolina,12,20-24,1947,2394,
North Carolina,12,25-29,2855,4802,
North Carolina,12,30-34,3106,5961,
North Carolina,12,35-39,1634,4740,
North Carolina,12,40-44,350,1984,
North Carolina,12,45-49,22,,
North Dakota,1,15-19,26,48,
North Dakota,1,20-24,128,154,
North Dakota,1,25-29,270,398,
North Dakota,1,30-34,222,492,
North Dakota,1,35-39,126,348,
North Dakota,1,40-44,13,139,
North Dakota,2,15-19,26,39,
North Dakota,2,20-24,126,152,
North Dakota,2,25-29,274,400,
North Dakota,2,30-34,201,475,
North Dakota,2,35-39,104,305,
North Dakota,2,40-44,16,120,
North Dakota,3,15-19,35,51,
North Dakota,3,20-24,133,168,
North Dakota,3,25-29,273,406,
North Dakota,3,30-34,254,527,
North Dakota,3,35-39,94,348,
North Dakota,3,40-44,21,115,
North Dakota,4,15-19,27,48,
North Dakota,4,20-24,133,160,
North Dakota,4,25-29,247,380,
North Dakota,4,30-34,262,509,
North Dakota,4,35-39,118,380,
North Dakota,4,40-44,21,139,
North Dakota,5,15-19,17,38,
North Dakota,5,20-24,152,169,
North Dakota,5,25-29,276,428,
North Dakota,5,30-34,251,527,
North Dakota,5,35-39,114,365,
North Dakota,5,40-44,22,136,
North Dakota,6,15-19,30,52,
North Dakota,6,20-24,128,158,
North Dakota,6,25-29,257,385,
North Dakota,6,30-34,250,507,
North Dakota,6,35-39,123,373,
North Dakota,6,40-44,20,143,
North Dakota,7,15-19,26,46,
North Dakota,7,20-24,156,182,
North Dakota,7,25-29,274,430,
North Dakota,7,30-34,275,549,
North Dakota,7,35-39,128,403,
