state,month,marital_status,births
Idaho,9,Married,1483
Idaho,9,Unmarried,534
Idaho,10,Married,1441
Idaho,10,Unmarried,470
Idaho,11,Married,1296
Idaho,11,Unmarried,495
Idaho,12,Married,1379
Idaho,12,Unmarried,485
Illinois,1,Married,5941
Illinois,1,Unmarried,4248
Illinois,2,Married,5748
Illinois,2,Unmarried,3939
Illinois,3,Married,6249
Illinois,3,Unmarried,3969
Illinois,4,Married,6291
Illinois,4,Unmarried,3907
Illinois,5,Married,6655
Illinois,5,Unmarried,4057
Illinois,6,Married,6395
Illinois,6,Unmarried,4065
Illinois,7,Married,6863
Illinois,7,Unmarried,4362
Illinois,8,Married,6634
Illinois,8,Unmarried,4483
Illinois,9,Married,6187
Illinois,9,Unmarried,4196
Illinois,10,Married,6694
Illinois,10,Unmarried,4173
Illinois,11,Married,5916
Illinois,11,Unmarried,4023
Illinois,12,Married,6017
Illinois,12,Unmarried,4172
Indiana,1,Married,3531
Indiana,1,Unmarried,2867
Indiana,2,Married,3674
Indiana,2,Unmarried,2652
Indiana,3,Married,3897
Indiana,3,Unmarried,2836
Indiana,4,Married,3903
Indiana,4,Unmarried,2643
Indiana,5,Married,3865
Indiana,5,Unmarried,2841
Indiana,6,Married,3876
Indiana,6,Unmarried,2687
Indiana,7,Married,4050
Indiana,7,Unmarried,2977
Indiana,8,Married,4140
Indiana,8,Unmarried,3055
Indiana,9,Married,3885
Indiana,9,Unmarried,2914
Indiana,10,Married,4058
Indiana,10,Unmarried,2823
Indiana,11,Married,3452
Indiana,11,Unmarried,2673
Indiana,12,Married,3760
Indiana,12,Unmarried,2867
Iowa,1,Married,1907
Iowa,1,Unmarried,1149
Iowa,2,Married,1740
Iowa,2,Unmarried,989
Iowa,3,Married,1998
Iowa,3,Unmarried,1117
Iowa,4,Married,1974
Iowa,4,Unmarried,1020
Iowa,5,Married,1992
Iowa,5,Unmarried,1093
Iowa,6,Married,1965
Iowa,6,Unmarried,1065
Iowa,7,Married,1982
Iowa,7,Unmarried,1161
Iowa,8,Married,2026
Iowa,8,Unmarried,1154
Iowa,9,Married,1902
Iowa,9,Unmarried,1115
Iowa,10,Married,2032
Iowa,10,Unmarried,1167
Iowa,11,Married,1810
Iowa,11,Unmarried,1018
Iowa,12,Married,1811
Iowa,12,Unmarried,1110
Kansas,1,Married,1755
Kansas,1,Unmarried,1054
Kansas,2,Married,1678
Kansas,2,Unmarried,937
Kansas,3,Married,1803
Kansas,3,Unmarried,1008
Kansas,4,Married,1831
Kansas,4,Unmarried,934
Kansas,5,Married,1803
Kansas,5,Unmarried,985
Kansas,6,Married,1746
Kansas,6,Unmarried,955
Kansas,7,Married,1890
Kansas,7,Unmarried,1099
Kansas,8,Married,1977
Kansas,8,Unmarried,1134
Kansas,9,Married,1878
Kansas,9,Unmarried,1005
Kansas,10,Married,1849
Kansas,10,Unmarried,1059
Kansas,11,Married,1684
Kansas,11,Unmarried,985
Kansas,12,Married,1809
Kansas,12,Unmarried,1031
Kentucky,1,Married,2466
Kentucky,1,Unmarried,1931
Kentucky,2,Married,2379
Kentucky,2,Unmarried,1758
Kentucky,3,Married,2463
Kentucky,3,Unmarried,1788
Kentucky,4,Married,2476
Kentucky,4,Unmarried,1770
Kentucky,5,Married,2637
Kentucky,5,Unmarried,1760
Kentucky,6,Married,2435
Kentucky,6,Unmarried,1855
Kentucky,7,Married,2884
Kentucky,7,Unmarried,1940
Kentucky,8,Married,2734
Kentucky,8,Unmarried,2014
Kentucky,9,Married,2470
Kentucky,9,Unmarried,1938
Kentucky,10,Married,2688
Kentucky,10,Unmarried,1886
Kentucky,11,Married,2328
Kentucky,11,Unmarried,1762
Kentucky,12,Married,2460
Kentucky,12,Unmarried,1802
Louisiana,1,Married,1897
Louisiana,1,Unmarried,2519
Louisiana,2,Married,1963
Louisiana,2,Unmarried,2275
Louisiana,3,Married,2001
Louisiana,3,Unmarried,2270
Louisiana,4,Married,1936
Louisiana,4,Unmarried,2132
Louisiana,5,Married,1958
Louisiana,5,Unmarried,2237
Louisiana,6,Married,1825
Louisiana,6,Unmarried,2290
Louisiana,7,Married,2184
Louisiana,7,Unmarried,2626
Louisiana,8,Married,2149
Louisiana,8,Unmarried,2608
Louisiana,9,Married,2049
Louisiana,9,Unmarried,2571
Louisiana,10,Married,2031
Louisiana,10,Unmarried,2631
Louisiana,11,Married,1972
Louisiana,11,Unmarried,2362
Louisiana,12,Married,1872
Louisiana,12,Unmarried,1861
Maine,1,Married,613
Maine,1,Unmarried,330
Maine,2,Married,572
Maine,2,Unmarried,345
Maine,3,Married,608
Maine,3,Unmarried,371
Maine,4,Married,623
Maine,4,Unmarried,327
Maine,5,Married,619
Maine,5,Unmarried,370
Maine,6,Married,581
Maine,6,Unmarried,359
Maine,7,Married,679
Maine,7,Unmarried,348
Maine,8,Married,634
Maine,8,Unmarried,356
Maine,9,Married,608
Maine,9,Unmarried,354
Maine,10,Married,660
Maine,10,Unmarried,352
Maine,11,Married,607
Maine,11,Unmarried,327
Maine,12,Married,596
Maine,12,Unmarried,322
Maryland,1,Married,3228
Maryland,1,Unmarried,2202
Maryland,2,Married,2974
Maryland,2,Unmarried,2140
Maryland,3,Married,3311
Maryland,3,Unmarried,2170
Maryland,4,Married,3133
Maryland,4,Unmarried,2077
Maryland,5,Married,3405
Maryland,5,Unmarried,2137
Maryland,6,Married,3136
Maryland,6,Unmarried,2172
Maryland,7,Married,3507
Maryland,7,Unmarried,2307
Maryland,8,Married,3552
Maryland,8,Unmarried,2387
Maryland,9,Married,3230
Maryland,9,Unmarried,2230
Maryland,10,Married,3245
Maryland,10,Unmarried,2230
Maryland,11,Married,3103
Maryland,11,Unmarried,2096
Maryland,12,Married,3077
Maryland,12,Unmarried,2295
Massachusetts,1,Married,3525
Massachusetts,1,Unmarried,1922
Massachusetts,2,Married,3411
Massachusetts,2,Unmarried,1873
Massachusetts,3,Married,3813
Massachusetts,3,Unmarried,1867
Massachusetts,4,Married,3726
Massachusetts,4,Unmarried,1805
Massachusetts,5,Married,3936
Massachusetts,5,Unmarried,1911
Massachusetts,6,Married,3804
Massachusetts,6,Unmarried,1852
Massachusetts,7,Married,4032
Massachusetts,7,Unmarried,1947
Massachusetts,8,Married,4056
Massachusetts,8,Unmarried,1984
Massachusetts,9,Married,3727
Massachusetts,9,Unmarried,1924
Massachusetts,10,Married,3888
Massachusetts,10,Unmarried,1908
Massachusetts,11,Married,3610
Massachusetts,11,Unmarried,1869
Massachusetts,12,Married,3586
Massachusetts,12,Unmarried,1882
Michigan,1,Married,4761
Michigan,1,Unmarried,3197
Michigan,2,Married,4593
Michigan,2,Unmarried,3112
Michigan,3,Married,5109
Michigan,3,Unmarried,3238
Michigan,4,Married,5156
Michigan,4,Unmarried,3065
Michigan,5,Married,5437
Michigan,5,Unmarried,3249
Michigan,6,Married,5340
Michigan,6,Unmarried,3140
Michigan,7,Married,5491
Michigan,7,Unmarried,3237
Michigan,8,Married,5568
Michigan,8,Unmarried,3345
Michigan,9,Married,5185
Michigan,9,Unmarried,3094
Michigan,10,Married,5281
Michigan,10,Unmarried,3141
Michigan,11,Married,4680
Michigan,11,Unmarried,2918
Michigan,12,Married,4718
Michigan,12,Unmarried,3143
Minnesota,1,Married,3178
Minnesota,1,Unmarried,1626
Minnesota,2,Married,3314
Minnesota,2,Unmarried,1559
Minnesota,3,Married,3400
Minnesota,3,Unmarried,1678
Minnesota,4,Married,3482
Minnesota,4,Unmarried,1651
Minnesota,5,Married,3702
Minnesota,5,Unmarried,1704
Minnesota,6,Married,3403
Minnesota,6,Unmarried,1674
Minnesota,7,Married,3641
Minnesota,7,Unmarried,1689
